condition_id,mission_type,study_doi,study_slug,person_days,events,notes,extracted_by,extracted_at_utc
barotrauma-ear-sinus-block,analog,10.28920/dhm50.4.338-342,brett_2018,EST:6912,60,Canadian Armed Forces shallow-water diver candidates (n=241); incidence density 8.68/1000 person-days; 56 individuals with 60 OBT events; person-days back-calculated from stated rate; military confined-training cohort is analog-equivalent,subagent-proposal,2026-05-25T16:00:00Z
barotrauma-ear-sinus-block,analog,10.1017/S0022215110002331,landolfi_2009,335,8,Italian Air Force pilots (n=335); single-day hypobaric chamber training event; 8 barotitis media events (2.4%); pre-screened healthy subjects only; good analog for pressurized confined-environment exposure,subagent-proposal,2026-05-25T16:00:00Z
barotrauma-ear-sinus-block,analog,PMID:21881539,morgagni_2012,314,7,Italian aircrew (n=314); single-day hypobaric chamber training up to 35000 ft; 7 acute barotitis events (2.3%); 28 delayed ear-pain events also recorded; row uses acute confirmed only,subagent-proposal,2026-05-25T16:00:00Z
barotrauma-ear-sinus-block,analog,PMID:12906110,degroot_2003,EST:23656,EST:220,USA terrestrial altitude research chamber; 33-yr cohort; 23656 exposures; ear block rate 0.93/100 exposures; EST events = 220; lower bound analog estimate - research volunteers prescreened; best long-run denominator available,subagent-proposal,2026-05-25T16:00:00Z
barotrauma-ear-sinus-block,analog,PMID:35245445,nakdimon_2022,1627,EST:63,Israeli Air Force altitude chamber; 1627 trainees 2015-2019; overall adverse-event rate 5.59%; 69.3% were ear/sinus barotrauma; EST 63 ear/sinus events from 91 total AEs,subagent-proposal,2026-05-25T16:00:00Z
barotrauma-ear-sinus-block,analog,PMID:11952064,kikukawa_2002,EST:58454,EST:2338,Japan Air Self-Defense Force hypobaric chamber; 39-yr cohort; 29677 trainees / 58454 exposures; ear pain listed as most prevalent incident; 6.3% overall incident rate; EST ear events using conservative 4% ear-specific fraction,subagent-proposal,2026-05-25T16:00:00Z
barotrauma-ear-sinus-block,analog,PMID:10642071,fitzpatrick_1999,EST:2394,EST:33,US military multiplace HBOT; 111 patients / 2394 sessions; 35 symptomatic barotrauma cases (3.05/100); 95% ear-affected; EST 33 ear events; HBOT confined-chamber environment is analog-adjacent,subagent-proposal,2026-05-25T16:00:00Z
barotrauma-ear-sinus-block,analog,PMID:31803553,saxena_2020,EST:1216,19,India tertiary hospital HBOT; 100 patients / 1216 sessions; 19 patients (19%) developed otitic barotrauma; person-days estimated as session count; patient-level event count used,subagent-proposal,2026-05-25T16:00:00Z
barotrauma-ear-sinus-block,analog,PMID:29571230,tseng_2018,EST:3608,365,Taiwan Navy; 3608 pressure-test trials (hyperbaric chamber to 112 fsw); 435 failures (12.06%); 365 ear barotrauma events (96.56% of 378 with recorded cause); high-pressure military selection - upper-bound estimate for analog confined pressure exposure,subagent-proposal,2026-05-25T16:00:00Z
eye-penetration-foreign-body,analog,10.1038/s41526-023-00279-y,meer_2023,15875,4,Eye Debris events from NASA LSAH (Shuttle+ISS Exp1-13); represents superficial FB not true intraocular penetration (ICD S05.5); zero true IOFB events documented; 70 corneal abrasions also logged,subagent-proposal,2026-05-25T23:26:30Z
eye-penetration-foreign-body,general-pop,10.1097/00043764-200006000-00009,islam_2000,EST:238328940,24,WV workers comp FY1998; penetrating eyeball ICD rate 3.7/100k employees/yr; 652956 workers; ~300x higher lambda vs analog population due to unshielded industrial metalwork; analog population estimate offset factor ~0.03-0.10,subagent-proposal,2026-05-25T23:26:30Z
eye-penetration-foreign-body,general-pop,10.1001/archopht.1992.01080180115038,dannenberg_1992,EST:43800000000,EST:840,NETS Registry 1985-1991; 635 occupational penetrating injuries/7yr at 48 centers; 35% IOFB; back-calculated from national rate ~2/100k/yr; US working pop ~120M; ~50-100x higher than analog due to unprotected industrial work,subagent-proposal,2026-05-25T23:26:30Z
eye-penetration-foreign-body,general-pop,10.2147/RMHP.S570336,wen_2026,EST:2883500000000,EST:5734000,GBD 2021 global ASIR 354.39/100k/yr (all IOFB including superficial); ~20% estimated true penetrating globe (ICD S05.5); high-SDI ASIR 509.26/100k/yr; global general population denominator; analog crew expected ~50-100x lower rate due to PPE screening and low-risk activities,subagent-proposal,2026-05-25T23:26:30Z
eye-penetration-foreign-body,general-pop,10.3389/fpubh.2022.858455,yuan_2022,EST:2810500000000,EST:9326000,GBD 2019 global IOFB; 46.63M total IOFB cases; ~20% estimated penetrating globe; ASIR declining trend -0.93%/yr EAPC; high-income North America has higher ASIR; general pop rate ~500-1000x higher than analog mission candidate,subagent-proposal,2026-05-25T23:26:30Z
eye-penetration-foreign-body,general-pop,10.1159/000507727,chang_2020,EST:302950000000,1176,SW China (Sichuan pop ~83M) hospitalized IOFB 2009-2018; annual incidence 0.14/100k; all cases are true intraocular penetrating (surgical removal); predominantly metalworking; analog population expected ~10-50x lower due to PPE and selection,subagent-proposal,2026-05-25T23:26:30Z
shoulder-sprain-strain,analog,10.1016/j.jseint.2024.10.012,fiedler_2024,441650,4,NASA LSAH cohort 242 astronauts 5-yr post-flight; 4 of 22 shoulder injuries classified as rotator cuff sprain/strain; lambda=0.0000091/pd; directly applicable analog population,subagent-proposal,2026-05-25T23:28:17Z
shoulder-sprain-strain,analog,PMID:19198198,scheuring_2009,10829,EST:6,In-flight MSK injuries NASA space program through 2006; shoulder fraction 15% and sprain/strain 18% of shoulder both estimated; high uncertainty; use as lower-bound check only,subagent-proposal,2026-05-25T23:28:17Z
shoulder-sprain-strain,analog,10.1016/j.actaastro.2019.07.005,laughlin_2019,EST:3472000,EST:10,NASA astronaut cohort n=338 vs 347540 working professionals 10-yr follow-up; shoulder consultation and surgery endpoint (not sprain-specific); sprain/strain event count estimated from 18% sub-fraction; use for plausibility check only,subagent-proposal,2026-05-25T23:28:17Z
shoulder-sprain-strain,general-pop,10.1007/s00420-023-01976-7,seevinck_2023,7262770,EST:77,Healthcare workers n=4406 19898 PY IR=17.9/1000PY all shoulder disorders; sprain/strain fraction 18% estimated; physically active occupational cohort is moderate analog proxy; selection-bias vs analog ~0.5x (healthier-worker effect partially offset by physical demand),subagent-proposal,2026-05-25T23:28:17Z
shoulder-sprain-strain,general-pop,10.1177/10659999221117781,luime_2022,EST:18250000,EST:344,Systematic review 8 incidence studies general-pop shoulder pain median IR 37.8/1000 PY (range 7.7-62); sprain/strain subset 18% estimated; broad case definition includes tendinopathy and pain syndromes not just sprain; general-pop proxy; selection-bias ~0.3x vs analog astronaut cohort,subagent-proposal,2026-05-25T23:28:17Z
shoulder-sprain-strain,general-pop,NEISS:2019,cpsc_neiss_2019,120450000000,EST:41960,NEISS 2019 ED-based shoulder injuries (S40-S49) USA; sprain/strain fraction 30% estimated; excludes S43 dislocation; severe under-reporting vs true incidence (ED-only capture); general-pop proxy; selection-bias ~0.2x vs analog cohort,subagent-proposal,2026-05-25T23:28:17Z
elbow-sprain-strain,general-pop,10.3390/sports12110289,ikumi_2024,EST:186628688,EST:3119,Nationwide Japanese judo insurance DB 2010-2019 adolescents 12-18y; elbow sprain rate 5.4-6.8/1000 athlete-years (mean 6.1); sprains=67.6% of 4614 elbow injuries; high-physical-demand sport proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:15:16Z
elbow-sprain-strain,general-pop,10.1177/0363546517700263,saper_2017,1734198,EST:45,US HS baseball High-School-RIO surveillance 2005-2015 1734198 AEs; 150 total elbow injuries; ligament sprains estimated 30% of elbow injuries; AE as athletic-exposure day unit; sport-specific overhead-athlete proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:15:16Z
elbow-sprain-strain,general-pop,10.1177/1941738117695205,pytiak_2017,4059418,EST:115,US HS baseball+softball HS-RIO surveillance 2005-2015 4059418 AEs; 289 elbow injuries; ~40% sprains estimated from overhead-sport literature; AE as athletic-exposure day unit; sport-specific proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:15:16Z
elbow-sprain-strain,general-pop,10.1016/j.xrrt.2025.01.003,frey_2025,5738470,EST:207,US HS baseball+softball HS-RIO surveillance 2005-2019 14 seasons 5738470 AEs; 518 total elbow/forearm injuries; ~40% sprains estimated; largest multi-season HS overhead-athlete dataset; sport-specific proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:15:16Z
elbow-sprain-strain,general-pop,10.1177/2325967119861959,hassebrock_2019,2119318,EST:96,NCAA-ISP 5-season surveillance 2009-2014 11 sports 2119318 AEs; UCL/ligament sprains=26% of 373 elbow injuries; mixed college sports (wrestling highest at 6.0/10k AEs); AE as athletic-exposure day unit; collegiate athlete proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:15:16Z
hip-sprain-strain,general-pop,10.1177/0363546517716179,eckard_2017,EST:4813148,EST:1391,NCAA athletes 25 sports 2009-2015; hip flexor+adductor strains 1.60+1.29/10000 AE; sports cohort proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:06:24Z
hip-sprain-strain,general-pop,10.1177/2325967118789079,kerbel_2018,EST:3739163,EST:992,NCAA athletes 25 sports 2009-2014; 53.06/100k AE overall hip injury rate; strain subset 50% estimated; sports cohort proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:06:24Z
hip-sprain-strain,general-pop,10.1136/bjsports-2017-097599,werner_2018,EST:1208000,EST:1812,UEFA professional football 47 clubs 15 seasons; 1.0/1000h hip+groin time-loss; all soft-tissue strains/sprains; sports cohort proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:06:24Z
hip-sprain-strain,general-pop,10.1136/bjsports-2024-109089,quintana-cepedal_2026,EST:6294254,EST:5914,BJSM meta-analysis 71 studies 9.4M h exposure 5914 injuries; 0.71/1000h HGI incidence; 85% football; adductor-related 0.41/1000h; sports cohort proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:06:24Z
hip-sprain-strain,general-pop,10.1093/jhps/hnaf010,holler_2025,5940740,2768,PAC-12 Division I 5 years 16276 person-years 15609 athletes 2768 hip/groin injuries; direct person-year denominator; sports cohort proxy; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:06:24Z
wrist-sprain-strain,general-pop,10.1016/j.ajem.2021.08.059,gordon_2021,1149750000000,EST:641263,NEISS 2009-2018 US ED data; wrist injuries 182/100k/yr; 12.3% strains/sprains; wrist sprain rate EST 20.4/100k/yr; ER-presenting only underestimates true community burden; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
wrist-sprain-strain,general-pop,10.1302/2046-3758.1111.BJR-2022-0119,ponkilainen_2022,EST:3650000000,EST:15767,Meta-analysis 206 studies; ankle sprains pooled 429.4/100k/yr (reference ceiling); wrist sprain context bounding; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
wrist-sprain-strain,general-pop,10.1093/ije/23.1.198,larsen_1993,36500000,EST:82,Danish population-based ED study 1yr; overall wrist trauma 69/10000/yr; non-fracture soft-tissue EST 42/10000/yr; sprain fraction EST 20% = 8.4/10000/yr = 84/100k/yr; catchment pop ~100000; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
wrist-sprain-strain,general-pop,10.1136/bjgp.2024.0113,krastman_2024,365000000,EST:100,Dutch GP primary-care cohort 200000 patients 5yr; wrist ligament injury 0.1/1000 person-years (95% CI 0.04-0.12); primary care only floor estimate; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
wrist-sprain-strain,general-pop,PMID:34509744,sandler_2021,6424000,90,US Military Academy cadets 2005-2008; 90 ICD-coded wrist sprains in 4400-person cohort over 4yr; rate 511/100k/yr reflects high-activity physically-selected population; retained as upper-bound reference; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
wrist-sprain-strain,general-pop,10.1007/s00068-021-01655-3,vanleerdam_2021,EST:6205000000,EST:4199,Dutch Injury Surveillance System 2016; 160250 hand+wrist ED visits; incidence 11/1000 males 8/1000 females; wrist sprain EST 13% of wrist visits; general-pop proxy; selection-bias ~0.5x expected vs analog cohort,subagent-proposal,2026-05-25T23:14:12Z
